Deutsch;Englisch;Daari;Ukrainisch;arabisch
sie (singular);she;آنها (مفرد);вони (однина);هم (المفرد)
es;it;آن را;це;هو - هي
wir;we;ما;ми;نحن
ihr;you - plural;او;її;ها
sie (plural);they;آنها (جمع);вони (множина);هم (الجمع)
Sie (formell Du);you - formal - singular;شما (به طور رسمی شما);Ви (формально Ви);أنت (رسميا أنت)
mein;my;من;мій;لي
dein;yours;شما;ваш;لك
sein;his;باشد;бути;يكون
ihr (singular);hers;تو (مفرد);ти (однина);أنت (مفرد)
sein;it's;باشد;бути;يكون
unser;ours;ما;наш;ملكنا
euer;yours;شما;ваш;لك
ihr (plural);theirs;تو (جمع);ти (множина);أنت (جمع)
Ihr (formell Du);yours - formal - singular;شما (به طور رسمی شما);Ви (формально Ви);أنت (رسميا أنت)
Okay ich fülle das Formular aus.;okay, I fill out the form.;باشه من فرم رو پر میکنم;Гаразд, я заповню форму.;حسنًا، سأقوم بملء النموذج.
Wie heißen die deutschen Artikel?;What are the German articles called?;مقالات آلمانی چه نام دارند؟;Як називаються німецькі статті?;ماذا تسمى المقالات الألمانية؟
Unterschreiben sie bitte das Formular.;Please sign the form.;لطفا فرم را امضا کنید;Будь ласка, підпишіть форму.;الرجاء التوقيع على النموذج.
Die Frau heiratet den Mann.;The woman marries the man.;زن با مرد ازدواج می کند.;Жінка виходить заміж за чоловіка.;المرأة تتزوج الرجل .
Nein wir besuchen dich nicht.;No we don`t visit you.;نه، ما به شما سر نمی زنیم.;Ні, ми до вас не завітаємо.;لا لن نزورك
Nein der Mann grüßt das Kind.;No, the man greets the child.;نه، مرد به بچه سلام می کند.;Ні, чоловік вітає дитину.;لا، الرجل يحيي الطفل.
Ich gratuliere dir zum Geburtstag.;I congratulate you to your birthday.;تولدت را تبریک می گویم.;Я вітаю тебе з днем ​​народження.;أتمنى لك عيد ميلاد سعيد.
Ich danke dir für das Geschenk.;Thank you for the present.;ممنون از هدیه.;Дякуємо за подарунок.;شكرا لك على الهدية.
Sie kommt aus Deutschland.;She comes from Germany.;او از آلمان می آید.;Вона родом з Німеччини.;انها تأتي من ألمانيا.
Ja ich helfe der Frau.;Yes, I help the woman.;بله، من به زن کمک خواهم کرد.;Так, я допоможу жінці.;نعم، سأساعد المرأة.
Nein ich verstehe kein deutsch.;No, I don`t understand German.;نه، من آلمانی نمی فهمم.;Ні, я не розумію німецької.;لا، أنا لا أفهم الألمانية.
Nein ich spreche nicht arabisch.;No, I don`t speak arabic.;نه من عربی بلد نیستم;Ні, я не розмовляю арабською.;لا، أنا لا أتكلم العربية.
Schreiben sie bitte ihren Namen auf.;Please write down your name.;لطفا نام خود را بنویسید;Будь ласка, запишіть своє ім'я.;يرجى كتابة اسمك.
Entschuldigen sie bitte.;Excuse me.;ببخشید لطفا;Вибачте, будь ласка.;إسمح لي، من فضلك.
Schön sie kennenzulernen.;Nice to get to know you.;از آشنایی با شما خوشحالم;Приємно познайомитись.;سعيد بلقائك.
Die Person ist männlich;This person is male.;فرد مرد است;Особа чоловічої статі;الشخص ذكر
Stellen sie sich bitte vor.;Please introduce yourself.;لطفا خودتان را معرفی کنید.;Будь ласка, представтесь.;يرجى تقديم نفسك.
Ich wohne in Bautzen.;I live in Bautzen.;من در باوتزن زندگی می کنم.;Я живу в Баутцені.;أنا أعيش في بوتسن.
Ich habe eine Frau und ein Kind.;I have a wife and one child.;من یک زن و یک فرزند دارم.;У мене є дружина і дитина.;لدي زوجة وطفل.
Was sage ich meiner Frau?;What do I tell my wife?;به همسرم چه بگویم؟;Що я скажу своїй дружині?;ماذا أقول لزوجتي؟
Ich bin Thomas.;I am thomas.;من توماس هستم;Я Томас.;أنا توماس.
Du bist Alfred.;You are Alfred.;تو آلفرد هستی;Ви Альфред.;أنت ألفريد.
Er ist Ahmad.;He is Ahmad.;او احمد است.;Він Ахмад.;هو أحمد .
Sie ist Monique.;She is Monique;او مونیک است.;Вона Монік.;هي مونيك.
Es ist ein Kind.;It is a child.;این یک کودک است.;Це дитина.;إنه طفل.
Wir sind aus Deutschland.;We are from Germany.;ما اهل آلمان هستیم.;Ми з Німеччини.;نحن من ألمانيا.
Ihr seid schön.;You are beautiful.;شما زیبا هستید.;Ти красива.;أنت جميل.
Sie helfen dem Kind.;They help the child.;به کودک کمک می کنند.;Вони допомагають дитині.;إنهم يساعدون الطفل.
Sie sind eine schöne Frau.;You are a beautiful woman.;تو زن زیبایی هستی;Ви гарна жінка.;أنت امرأة جميلة.
Mein Kind heißt Anja.;My child is called Anja.;اسم فرزندم آنجا است.;Мою дитину звуть Аня.;اسم طفلي هو أنجا.
Dein Alter sagt er nicht.;He doesn`t tell your age.;سن شما را نمی گوید.;Він не говорить твій вік.;لا يقول عمرك.
Seine Adresse ist auf dem Formular.;His adress is on the form.;آدرس او در فرم موجود است.;Його адреса вказана на бланку.;عنوانه موجود في النموذج.
ihr Geburtsort ist Dresden.;Her place of birth is Dresden.;زادگاه او درسدن است.;її місце народження Дрезден.;مسقط رأسها هو دريسدن.
Seine Frau kommt aus Deutschland.;His wife comes from Germany.;همسرش اهل آلمان است.;Його дружина родом з Німеччини.;زوجته تأتي من ألمانيا.
Wir haben unsere Einladung.;We have our invitation.;ما دعوتنامه خود را داریم.;У нас є наше запрошення.;لدينا دعوتنا.
Euer Kind heißt Ivan.;Your child is called Ivan.;نام فرزند شما ایوان است.;Вашу дитину звуть Іван.;اسم طفلك هو إيفان.
Ich spreche mit ihrem Mann.;I speak with her husband.;دارم با شوهرش حرف میزنم;Я розмовляю з її чоловіком.;أنا أتحدث مع زوجها.
Ihr Name ist Herr Müller.;Your Name is Herr Müller.;نام شما آقای مولر است.;Вас звуть пан Мюллер.;اسمك السيد مولر.
Ich sage meine Adresse nicht.;I don`t tell my adress.;آدرسم رو نمیگم;Я не кажу свою адресу.;أنا لا أقول عنواني.
Mein Name ist Martin Müller.;My Name is Martin Müller.;نام من مارتین مولر است.;Мене звати Мартін Мюллер.;اسمي مارتن مولر.
Mein Vorname ist Martin.;My first name is Martin.;اسم کوچک من مارتین است.;Моє ім'я Мартін.;اسمي الأول هو مارتن.
Mein Familienname ist Müller.;My second name is Müller.;نام خانوادگی من مولر است.;Моє прізвище Мюллер.;اسمي الأخير هو مولر.
Ich wohne in der Hauptstraße.;I live in the main street.;من در خیابان اصلی زندگی می کنم.;Я живу на Головній вулиці.;أنا أعيش في الشارع الرئيسي.
Meine Hausnummer ist 7.;My house number is 7.;شماره خانه من 7 است.;Номер мого будинку 7.;رقم منزلي هو 7
Wo ist der Ort?;Where is this place;مکان کجاست؟;Де місце?;أين المكان؟
Ich schreibe meine Postleitzahl auf.;I write down my area code.;من کد پستی ام را می نویسم.;Я записую свій поштовий індекс.;أنا أكتب الرمز البريدي الخاص بي.
Dein Geburtsort ist Berlin.;Your place of birth is berlin.;زادگاه شما برلین است.;Ваше місце народження Берлін.;مكان ميلادك هو برلين.
Dein Geburtsjahr ist 1984.;Your year of birth is 1984.;سال تولد شما 1984 است.;Ваш рік народження 1984.;سنة ميلادك هي 1984.
Mein Geburtsdatum ist der 01.01.1984.;My birthdate is the 01.01.1984.;تاریخ تولد من 1 ژانویه 1984 است.;Моя дата народження 1 січня 1984 року.;تاريخ ميلادي هو 1 يناير 1984.
Ich fülle das Formular aus.;I fill out the form.;من فرم را پر می کنم.;Я заповнюю форму.;أنا ملء النموذج.
Mein Alter sage ich nicht.;I don`t tell my age.;سنم را نمی گویم.;Я не кажу свій вік.;أنا لا أقول عمري.
Meine Unterschrift ist unter dem Formular.;my signature is under the form.;امضای من زیر فرم است.;Мій підпис під формою.;توقيعي موجود تحت النموذج
Wie ist ihr Familienstand?;What is your marital status?;وضعیت تأهل او چگونه است؟;Який її сімейний стан?;ما هي حالتها الاجتماعية؟
Ich habe keine Papiere.;I don`t have papers.;من هیچ برگه ای ندارم;У мене немає паперів.;ليس لدي أي أوراق.
Er hat keinen Ausweis.;He doesn`t have an identity card.;او هیچ شناسنامه ای ندارد.;У нього немає посвідчення особи.;ليس لديه أي هوية.
Wir haben keinen Pass.;We don`t have a passport.;ما پاسپورت نداریم;У нас немає паспорта.;ليس لدينا جواز سفر.
Es ist dein Geburtstag.;It is your birthday.;تولدت است;Це твій день народження.;إنه عيد ميلادك.
Ich habe eine Einladung zum Geburtstag.;I have an invitation to the birthday.;من یک دعوت نامه تولد دارم.;У мене є запрошення на день народження.;لدي دعوة عيد ميلاد.
Die Torte ist schön.;The pie is beautiful.;کیک زیباست;Торт гарний.;الكعكة جميلة.
Sie haben ein Geschenk.;They have a present.;شما یک هدیه دارید.;У вас є дар.;لديك هدية.
Der Gast kommt aus Deutschland.;The guest is from Germany.;مهمان از آلمان آمده است.;Гість приїхав з Німеччини.;الضيف يأتي من ألمانيا.
Die Frau ist schön.;The woman is pretty.;زن زیباست;Жінка красива.;المرأة جميلة.
Der Mann ist ledig.;The man is single.;مرد مجرد است.;Чоловік неодружений.;الرجل أعزب.
Der Junge spricht arabisch.;The boy speaks arabic.;پسر عربی صحبت می کند.;Хлопець розмовляє арабською.;الولد يتكلم العربية .
Das Mädchen spricht ein bisschen deutsch.;The girl speaks a little bit German.;دختر کمی آلمانی صحبت می کند.;Дівчина трохи володіє німецькою.;الفتاة تتحدث الألمانية قليلا.
Das Kind spricht mit der Mutter.;The child is speaking with the mother.;کودک با مادر صحبت می کند.;Дитина розмовляє з мамою.;الطفل يتحدث مع الأم.
Ich habe keine Handynummer.;I dont have a cell phone number.;من شماره تلفن همراه ندارم;У мене немає номера мобільного телефону.;ليس لدي رقم هاتف محمول.
Meine Nummer sage ich nicht.;I don`t tell my number.;شماره ام را نمی گویم.;Я не кажу свій номер.;أنا لا أقول رقمي.
Ich schreibe das Alphabet auf.;I write down the alphabet.;الفبا را می نویسم.;Записую алфавіт.;أنا أكتب الأبجدية.
Das ist ein Artikel.;This is an article.;این یک مقاله است.;Це стаття.;هذا مقال.
Die Person ist männlich.;The person is male.;فرد مرد است.;Особа чоловічої статі.;الشخص ذكر.
Ich verstehe die deutsche Sprache.;I understand the German language.;من زبان آلمانی را می فهمم.;Я розумію німецьку мову.;أنا أفهم اللغة الألمانية.
Die Dame hilft dem Mann.;The lady helps the man.;خانم به مرد کمک می کند.;Жінка допомагає чоловікові.;السيدة تساعد الرجل.
Deutschland ist schön.;Germany is beautiful.;آلمان زیباست;Німеччина прекрасна.;ألمانيا جميلة.
Die Person ist männlich.;the person is male.;فرد مرد است.;Особа чоловічої статі.;الشخص ذكر.
Nein die Person ist weiblich.;no, the person is female;خیر، آن شخص زن است.;Ні, людина жіночої статі.;لا، الشخص أنثى.
Ich bin ledig.;I am single.;من مجردم;Я незаміжня.;أنا أعزب.
Ja ich bin verheiratet.;Yes, I am married;بله متاهل هستم.;Так, я одружений.;نعم أنا متزوج.
Nein ich bin nicht geschieden.;No, I am not divorced.;نه من طلاق ندارم;Ні, я не розлучений.;لا، أنا لست مطلقة.
Ja ich bin verwitwet.;Yes, I am a widowed,;بله، من بیوه هستم.;Так, я овдовіла.;نعم أنا أرملة.
Ja das Geschenk ist gut.;Yes, the present is good.;بله هدیه خوب است.;Так, подарунок хороший.;نعم الهدية جيدة.
Nein das Geschenk ist schlecht.;No the present is bad.;نه، هدیه بد است.;Ні, подарунок поганий.;لا، الهدية سيئة.
Nein das ist nicht privat.;No, that is not privat.;نه، این خصوصی نیست.;Ні, це не приватне.;لا، هذا ليس خاصا.
Nein ich spreche kein deutsch.;No, I don`t speak German.;نه، من آلمانی صحبت نمی کنم.;Ні, я не розмовляю німецькою.;لا، أنا لا أتكلم الألمانية.
Ich spreche ein bisschen deutsch.;I speak a little bit german.;من کمی آلمانی صحبت می کنم.;Я трохи розмовляю німецькою.;أنا أتكلم الألمانية قليلا.
Ja das Mädchen ist schön.;Yes, the girl is beautiful.;بله دختر زیباست;Так, дівчина красива.;نعم الفتاة جميلة .
Wer ist die Frau?;Who is this woman?;زن کیست؟;Хто ця жінка?;من هي المرأة؟
Ja was ist?;Yes what`s up?;بله، آن چیست؟;Так, що це?;نعم، ما هو؟
Woher kommen sie?;Where are you from?;اهل کجایی؟;ти звідки;من أين أنت؟
Welches Kind ist ihrs?;Which child is yours?;کدام بچه مال اوست؟;Яка дитина її?;أي طفل لها؟
Wie heißen sie?;What is your name?;نام آنها چیست؟;Як вони називаються?;ماذا يطلقون؟
Hallo ich bin Martin.;Hello I am Martin.;سلام، من مارتین هستم.;Привіт, я Мартін.;مرحبا، أنا مارتن.
Guten Tag Frau Müller.;Good Day mrs Müller.;ظهر بخیر خانم مولر.;Доброго дня, пані Мюллер.;مساء الخير سيدة مولر.
Herzlichen Glückwunsch zum Geburtstag.;Happy Birthday.;تولدت مبارک.;З днем ​​народження;عيد ميلاد سعيد.
Bitte schön.;you are welcome.;لطفا;Будь ласка;لو سمحت.
Danke für das Geschenk.;Thank you for the present;ممنون از هدیه;Дякуємо за подарунок.;شكرا على الهدية.
Auf Wiedersehen.;Good bye.;خداحافظ;до побачення;مع السلامة.
Tschüss.;bye.;خداحافظ;до побачення;الوداع.
Ja ich bin Thomas.;Yes I am Thomas.;بله، من توماس هستم.;Так, я Томас.;نعم، أنا توماس.
Nein ich bin nicht Omar.;No I am not Omar;نه من عمر نیستم;Ні, я не Омар.;لا، أنا لست عمر.
Entschuldigung.;Sorry.;ببخشید;Вибачте.;اعذرني.
Willkommen in Deutschland.;Welcome to Germany.;به آلمان خوش آمدید;Ласкаво просимо до Німеччини.;مرحبا بكم في ألمانيا.
Ich komme auch aus Deutschland.;I am from Germany too.;من هم از آلمان آمده ام.;Я також родом з Німеччини.;أنا أيضا أتيت من ألمانيا.
Ich spreche deutsch und arabisch.;I speak German and Arabic.;من آلمانی و عربی صحبت می کنم.;Володію німецькою та арабською мовами.;أنا أتحدث الألمانية والعربية.
vormittags;in the morning;صبح;ранок;صباح
später;later;بعدا;пізніше;لاحقاً
pünktlich;punctual;به موقع;вчасно;في الوقت المحدد
zu spät;too late;خیلی دیر;занадто пізно;بعد فوات الأوان
die Stunde;one hour;ساعت;година;الساعة
eine halbe Stunde;half hour;نیم ساعت;півгодини;نصف ساعة
eine viertel Stunde;quarter hour;یک ربع ساعت;чверть години;ربع ساعة
die Minute;the minute;دقیقه;хвилина;الدقيقة
die Sekunde;the second;دوم;другий;الثاني
früh;early;اوایل;рано;مبكر
spät;late;دیر;пізно;متأخر
die Uhrzeit;the time;زمان;час;الوقت
seit;since;از آنجایی که;оскільки;منذ
heute;today;امروز;сьогодні;اليوم
gestern;yesterday;دیروز;вчора;أمس
vorgestern;the day before yesterday;پریروز;позавчора;أول من أمس
morgen;tomorrow;صبح;ранок;صباح
übermorgen;the day after tomorrow;پس فردا;післязавтра;بعد غد
morgens;in the morning;صبح;ранок;صباح
mittags;at noon;در ظهر;опівдні;عند الظهر
pünktlich;punctual;به موقع;вчасно;في الوقت المحدد
abends;at the evening;در عصر;ввечері;في المساء
tagsüber;during the day;در طول روز;протягом дня;خلال النهار
nachts;in the night;در شب;вночі;في الليل
nachmittags;in the afternoon;بعد از ظهر;полудень;بعد الظهر
jetzt;now;اکنون;тепер;الآن
immer;always;همیشه;завжди;دائماً
nächste;next;بعدی;наступний;التالي
stündlich;hourly;ساعتی;погодинно;كل ساعة
täglich;daily;روزانه;щодня;يوميًا
erst;first;اول;перший;أولاً
wann;when;چه زمانی;Коли;متى
null;zero;صفر;нуль;صفر
eins;one;یکی;один;واحد
zwei;two;دو;два;اثنين
drei;three;سه;три;ثلاثة
vier;four;چهار;чотири;أربعة
fünf;five;پنج;п'ять;خمسة
sechs;six;شش;шість;ستة
sieben;seven;هفت;сім;سبعة
acht;eight;هشت;вісім;ثمانية
neun;nine;نه;дев'ять;تسعة
zehn;ten;ده;десять;عشرة
elf;eleven;یازده;одинадцять;أحد عشر
die Zahl;the number;شماره;номер;الرقم
hundert;hundred;صد;сто;مائة
hunderteins;onehundred and one;صد و یک;сто один;مائة وواحد
zweihundert;twohundred;دویست;двісті;مائتي
tausend;thousand;هزار;тисячі;ألف
die Million;million;میلیون;мільйон;المليون
die Milliarde;billion;میلیارد;мільярд;المليار
neunzehn;nineteen;نوزده;дев'ятнадцять;تسعة عشر
zwangzig;twenty;به طور اجباری;примусово;قسرا
einundzwanzig;twentyone;بیست و یک;двадцять один;واحد وعشرون
dreißig;thirty;سی;тридцять;ثلاثين
vierzig;forty;چهل;сорок;أربعين
fünfzig;fifty;پنجاه;п'ятдесят;خمسون
sechzig;sixty;شصت;шістдесят;ستين
siebzig;seventy;هفتاد;сімдесят;سبعون
achtzig;eighty;هشتاد;вісімдесят;ثمانون
neunzig;ninety;نود;дев'яносто;تسعون
plus;plus;به علاوه;плюс;زائد
minus;minus;منهای;мінус;ناقص
geteilt;divided by;تقسیم شده است;розділений;مقسم
mal;times;فقط;просто;فقط
das Prozent;the percent;درصد;відсоток;النسبة المئوية
ganz;full;کاملا;цілком;تمامًا
zwölf;twelve;دوازده;дванадцять;اثني عشر
dreizehn;thirteen;سیزده;тринадцять;ثلاثة عشر
vierzehn;fourteen;چهارده;чотирнадцять;أربعة عشر
fünfzehn;fifteen;پانزده;п'ятнадцять;خمسة عشر
sechzehn;sixteen;شانزده;шістнадцять;ستة عشر
siebzehn;seventeen;هفده;сімнадцять;سبعة عشر
achtzehn;eighteen;هجده;вісімнадцять;ثمانية عشر
rechnen;to calculate;محاسبه کنید;розрахувати;احسب
schlafen;to sleep;بخواب;сон;ينام
wecken;to wake someone up;بیدار شو;прокинутися;استيقظ
aufwachen;to wake up;بیدار شو;прокинутися;استيقظ
aufstehen;to stand up;برخیز;встати;الوقوف
stattfinden;to occur;برگزار شود;мати місце;تحدث
verabreden;to arrange to meet;قرار گذاشتن;призначити побачення;تحديد موعد
anfangen;to start;آغاز شود;почати;يبدأ
beginnen;to begin;شروع کنید;почати;يبدأ
zählen;to count;برای شمارش;рахувати;لحساب
warten;to wait;صبر کن;чекати;انتظر
öffnen;to open;باز کردن;ВІДЧИНЕНО;يفتح
schließen;to close;بستن;закрити;يغلق
die Woche;the week;هفته;тиждень;الاسبوع
der Wochentag;the day of the week;روز هفته;день тижня;يوم من أيام الأسبوع
der Werktag;working day;روز کاری;робочий день;يوم العمل
das Wochenende;the weekend;آخر هفته;вихідні;عطلة نهاية الأسبوع
Montag;Monday;دوشنبه;понеділок;الاثنين
Dienstag;Tuesday;سه شنبه;вівторок;يوم الثلاثاء
Mittwoch;Wednesday;چهارشنبه;Середа;الأربعاء
Donnerstag;Thursday;پنج شنبه;четвер;يوم الخميس
Freitag;Friday;جمعه;П'ятниця;جمعة
Samstag;Saturday;شنبه;Субота;السبت
Sonntag;Sunday;یکشنبه;неділя;الأحد
das Jahr;the year;سال;рік;السنة
der Herbst;autumn;پاییز;осінь;الخريف
der Sommer;summer;تابستان;літо;الصيف
der Frühling;spring;بهار;весна;الربيع
der Winter;winter;زمستان;зима;الشتاء
die Jahreszeit;the season;فصل;сезон;الموسم
der Monat;the month;ماه;місяць;الشهر
der Januar;january;ژانویه;січня;يناير
der Februar;february;فوریه;Лютий;فبراير
der März;march;مارس;березень;يمشي
der April;april;آوریل;квітень;أبريل
der Mai;may;می;травня;يمكن
der Juni;june;ژوئن;червень;يونيو
der Juli;juli;جولای;липень;يوليو
der August;august;اوت;серпень;أغسطس
der September;september;سپتامبر;вересень;سبتمبر
der Oktober;october;اکتبر;жовтень;أكتوبر
der November;november;نوامبر;листопад;نوفمبر
der Dezember;december;دسامبر;грудень;ديسمبر
die Nacht;the night;شب;ніч;الليل
Guten Morgen;good morning;صبح بخیر;доброго ранку;صباح الخير
Guten Abend;good evening;عصر بخیر;добрий вечір;مساء الخير
guten Tag;good day;روز بخیر;добрий день;يوم جيد
der Abend;the evening;عصر;вечір;المساء
der Mittag;noon;ظهر;полудень;منتصف النهار
der Morgen;the morning;صبح;ранок;الصباح
der Tag;the day of the week;روز;день;اليوم
der Vormittag;the morning;صبح;ранок;الصباح
der Nachmittag;the afternoon;بعد از ظهر;півдня;بعد الظهر
erste;first;اول;перший;أولاً
zweite;second;دوم;другий;ثانية
dritte;third;سوم;третій;ثالث
vierte;fourth;چهارم;четвертий;الرابع
fünfte;fifth;پنجم;п'ятий;الخامس
sechste;sixth;ششم;шосте;السادس
siebte;seventh;هفتم;сьоме;السابع
achte;eighth;هشتم;восьме;ثامن
neunte;nineth;نهم;дев'ятий;التاسع
zehnte;tenth;دهم;десяте;العاشر
die Hälfte;a half;نیمه;половина;النصف
das Drittel;a third;سوم;третій;الثالث
das Viertel;a quarter;ربع;квартал;الربع
das Fünftel;a fifth;پنجم;п'ятий;الخامس
das Sechstel;a sixth;ششم;шостий;السادس
das Siebtel;a seventh;هفتم;сьомий;السابع
das Achtel;an eights;هشتم;восьмий;الثامن
das Neuntel;a nineth;نهم;дев'ятий;التاسع
das Zehntel;a tenth;دهم;десятий;العاشر
die Form;the form;شکل;форма;الشكل
der Kreis;the circle;دایره;коло;الدائرة
das Dreieck;the triangle;مثلث;трикутник;المثلث
das Viereck;the quadrangle;مربع;квадрат;الساحة
der Teil;a part;قسمت;частина;الجزء
die Uhr;the clock;ساعت;годинник;الساعة
der Zeiger;the clock pointer;اشاره گر;вказівник;المؤشر
der Termin;the appointment;قرار ملاقات;призначення;الموعد
kommst du vormittags oder nachmittags?;Are you coming in the morning or in the afternoon.;صبح می آیی یا بعد از ظهر؟;ти прийдеш вранці чи вдень?;هل ستأتي في الصباح أم بعد الظهر؟
Ich spreche später mit Monika;I speak later with Monika.;بعدا با مونیکا صحبت می کنم;Я поговорю з Монікою пізніше;سأتحدث مع مونيكا في وقت لاحق
ich komme heute nicht pünktlich.;I don`t come on time today.;امروز به موقع نمیرسم;Сьогодні я не встигну.;لن أكون في الوقت المحدد اليوم.
Du bist zu spät.;You are too late.;خیلی دیر اومدی;Ти запізнився.;لقد فات الأوان.
Eine Stunde hat 60 Minuten.;One hour has sixty minutes.;یک ساعت 60 دقیقه دارد.;Година має 60 хвилин.;الساعة بها 60 دقيقة.
30 Minuten sind eine halbe Stunde.;Thirty minutes are half an hour.;30 دقیقه نیم ساعت است.;30 хвилин - це півгодини.;30 دقيقة هي نصف ساعة.
Ich komme eine viertel Stunde zu spät.;I come fifteen minutes too late.;من یک ربع تاخیر دارم.;Я спізнився на чверть години.;لقد تأخرت ربع ساعة.
Eine Minute hat sechzig Sekunden.;One minute has sixty seconds.;در یک دقیقه شصت ثانیه وجود دارد.;Є шістдесят секунд за хвилину.;هناك ستون ثانية في الدقيقة.
warten sie bitte eine Sekunde.;Please wait one second.;لطفا یک ثانیه صبر کنید;будь ласка, зачекайте секунду.;يرجى الانتظار ثانية.
Ich stehe früh auf und schlafe spät.;I stand up early and go to sleep late.;زود بیدار می شوم و دیر می خوابم.;Рано встаю і пізно сплю.;أستيقظ مبكرا وأنام متأخرا.
sagen sie mir bitte die Uhrzeit?;Do you tell me the time please?;لطفا ساعت را به من بگویید؟;Скажіть, будь ласка, час?;من فضلك قل لي الوقت؟
Ich warte seit Montag.;I wait since Monday.;از دوشنبه منتظرم;Чекаю з понеділка.;لقد كنت أنتظر منذ يوم الاثنين.
Heute habe ich Geburtstag.;Today is my birthday.;امروز تولد منه;сьогодні мій день народження;اليوم هو عيد ميلادي.
